Grantor,Grantee,Doc Type,Recorded Date,Doc Number,Book/Volume/Page,Town,Legal Description
LA FITTE INV INC,DEPOT APT CO LTD,DEED,3/7/1978,197800541202,ALL/78045/1702,,"Subdivision-  Block: 18 CBLK: 5217,"
LA FITTE INV INC,CHASE MANHATTAN BK,EXTENSION,3/7/1978,197800541201,ALL/78045/1698,,
LA FITTE INV INC,DEPOT APT CO LTD,RELEASE,10/3/1978,197800715240,ALL/78192/434,DALLAS,"Subdivision-  Block: 18 CBLK: 5217, CITY: DALLAS,"
LA FITTE INV INC,CHASE MANHATTAN BK NA,EXTENSION,3/7/1978,197800541200,ALL/78045/1694,,
CHASE MANHATTAN BK,LA FITTE INV INC,RELEASE,10/3/1978,197800715241,ALL/78192/438,DALLAS,"Subdivision-  Block: 18 CBLK: 5217, CITY: DALLAS,"
CHASE MANHATTAN BK NA,LA FITTE INV INC,UCC 3,10/3/1978,197800715238,ALL/78192/430,,"Subdivision- , Reference - 74114 / 590"
CHASE MANHATTAN BK NA,LA FITTE INV INC,UCC 3,10/3/1978,197800715239,ALL/78192/432,,"Subdivision- , Reference - 74008 / 1349"
CHASE MANHATTAN BK,LA FITTE INV INC,RELEASE,10/3/1978,197800715242,ALL/78192/442,DALLAS,"Subdivision-  Block: 18 CBLK: 5217, CITY: DALLAS,"
LA VASSEUR ROBERT,LA FITTE INV INC,DEED OF TRUST,3/7/1978,197800541203,ALL/78045/1708,,"Subdivision-  Block: 18 CBLK: 5217,"
DEPOT APT CO LTD,LA FITTE INV INC,DEED OF TRUST,3/7/1978,197800541204,ALL/78045/1724,,"Subdivision-  Block: 18 CBLK: 5217,"
